Climb name,Grade,Style,Partner(s),Notes,Date,Crag name,Grade Type,Grade System,Country
Grey Panther,E1 5b ***,Lead O/S,ChloeJ,Phenomenal!,18/Jun/23,"Kilt Rock, Staffin",Trad,British,Scotland
The Electric Bagpipe,VS 5a ***,2nd O/S,ChloeJ,,18/Jun/23,"Kilt Rock, Staffin",Trad,British,Scotland
TD Gap Original Route (Summer),S  *,Lead O/S,ChloeJ,"Tricky with bags on, even in rock shoes! And polished!",15/Jun/23,Thearlaich Dubh Gap,Trad,British,Scotland
East Ridge (Summer),M  ***,Solo β,ChloeJ,Highlight of the day. A brilliant and exhilarating solo!,15/Jun/23,Sgurr Dearg (Inaccessible Pinnacle),Trad,British,Scotland
Cuillin Ridge Traverse (Summer),VD  ***,AltLd O/S,ChloeJ,"Lifetime tick - this is a BIG day out! Took us 20hrs from camp to hotel and was potentially the most physically exhausting thing I have ever done. We suffered a lot from the heat & dehydration and it took a lot of willpower to keep going. You have to keep it together on near-constant scrambling and exposed climbing over ~10km. We ended up completely bypassing Sgurr Alisdair and Am Basteir due to time pressure, and with the latter - sheer exhaustion.",15/Jun/23,Cuillin Ridge (Traverse),Trad,British,Scotland
Sgurr Mhic Choinnich summit,summit  ,-,ChloeJ,,15/Jun/23,Sgurr Mhic Choinnich,Special, ,Scotland
Sgurr na Banachdich North summit,summit  ,-,ChloeJ,,15/Jun/23,Sgurr na Banachdich,Special, ,Scotland
Sgurr a' Ghreadaidh summit,summit  ,-,ChloeJ,,15/Jun/23,Sgurr a' Ghreadaidh,Special, ,Scotland
Inaccessible Pinnacle summit,summit  ,-,ChloeJ,,15/Jun/23,Sgurr Dearg (Inaccessible Pinnacle),Special, ,Scotland
Bruach na Frithe summit,summit  ,-,ChloeJ,,15/Jun/23,Bruach na Frithe,Special, ,Scotland
Sgurr nan Gillean summit,summit  ,-,ChloeJ,,15/Jun/23,Sgurr nan Gillean,Special, ,Scotland
Sgurr Dubh Mor summit,summit  ,-,ChloeJ,,15/Jun/23,Sgurr Dubh Mor,Special, ,Scotland
Sgurr a' Mhadaidh summit,summit  ,-,ChloeJ,,15/Jun/23,Sgurr a' Mhadaidh,Special, ,Scotland
Sgurr nan Eag summit,summit  ,-,ChloeJ,,15/Jun/23,Sgurr nan Eag,Special, ,Scotland
West Ridge (Summer),M  *,Solo O/S,ChloeJ,"This felt pretty hard at the end of the day, route finding isn’t trivial either.",14/Jun/23,Sgurr nan Gillean,Trad,British,Scotland
King's Chimney,VD  ***,2nd O/S,ChloeJ,,14/Jun/23,Sgurr Mhic Choinnich,Trad,British,Scotland
Shibboleth,E2 5c ***,AltLd dnf,ChloeJ,Did the first 3 pitches of this and then finished up Bludger&rsquo;s as we weren&rsquo;t feeling it (Dumby the day before). Bit of a shame as the top pitches looked much better!,10/Jun/23,Buachaille Etive Mor,Trad,British,Scotland
Sunlover,E3 5c ***,Lead O/S,ChloeJ,Intense. Got pretty gripped on the bottom with the small polished feet and just made it to the larger holds above. Continually interesting to the top and very varied!,29/May/23,Trevallen Cliff,Trad,British,Wales
Ultravixens,E1 5b **,Lead O/S,ChloeJ,"Hell of an experience at E1, the starting moves feel even more committing when there’s a large swell below!",29/May/23,Chapel Point,Trad,British,Wales
Whispering Wind,E1 5a *,2nd O/S,ChloeJ,,28/May/23,St. Govan's East,Trad,British,Wales
Pleasure Dome,E3 5c ***,Lead dog,"ChloeJ, kishanvekaria, EGriffin","Gave everything on this and it wasn’t quite enough. Whipped off going up from the undercut and pinch at the end of the traverse, when the holds suddenly get smaller.  I then had to prusik back up to my high point and climb to the top. I was then informed that no-one wanted to second me so I had to conduct 2 separate abseils and jug up the rope as many times, to get the gear back.
4 hours later from when I set off, I stumbled back to the car-park - defeated and badly in need of a rest day.",27/May/23,Stennis Head,Trad,British,Wales
Manzoku,E1 5b ***,Lead O/S,ChloeJ,Good interesting climb with lots of directional holds,27/May/23,Stennis Head,Trad,British,Wales
Twlight World,6c  ***,Lead O/S,"Angus Smith, ChloeJ, EddieTJ",,21/May/23,Third Sister to Zulu Zawn,Sport,French,Wales
Happy Valley,7a  *,Lead O/S,ChloeJ,,21/May/23,Third Sister to Zulu Zawn,Sport,French,Wales
Department of Correction,7b+  ***,Lead dog,"ChloeJ, EddieTJ, Angus Smith","Good, powerful compression route with very consistent difficulty!",21/May/23,Third Sister to Zulu Zawn,Sport,French,Wales
Debbie Reynolds,7a  **,Lead,"Angus Smith, EddieTJ","Short but packs a punch, good though!",21/May/23,Third Sister to Zulu Zawn,Sport,French,Wales
Snozwanger,E1 5b **,2nd rpt,ChloeJ,,18/May/23,Mowing Word,Trad,British,Wales
The Arrow,E1 5b ***,2nd O/S,ChloeJ,"Very good, deservedly a classic.",17/May/23,St. Govan's Head,Trad,British,Wales
Zeppelin,E3 5c ***,Lead O/S,ChloeJ,"Quite the struggle. Brilliant climb though I was expecting more buckets, given the description! Some slopey directional holds in the middle and more techy groove crack climbing at the top.
Memorable and hard work. Gear is good.",17/May/23,Mother Carey's Kitchen,Trad,British,Wales
The Meridian,VS 4c **,2nd O/S,ChloeJ,,16/May/23,Mother Carey's Kitchen,Trad,British,Wales
Sunsmoke,E2 5b **,Lead O/S,ChloeJ,"Interesting and varied, especially towards the top. Didn’t seem that climbed on though, some cobwebs in the cracks.",16/May/23,Mother Carey's Kitchen,Trad,British,Wales
Ducky Lucky,7a+  **,Lead β,"Angus Smith, ChloeJ, kishanvekaria",,07/May/23,Foxhole,Sport,French,Wales
Unholy Alliance,6a+  *,Lead O/S,"Angus Smith, ChloeJ, kishanvekaria",A bit harder than expected ,07/May/23,Foxhole,Sport,French,Wales
Foxy Lady,7a  **,Lead O/S,"Angus Smith, ChloeJ, kishanvekaria","Good climb, some hard off-balance moves at the top.",07/May/23,Foxhole,Sport,French,Wales
Millsom's Minion,E1 5b ***,Lead β,ChloeJ,,26/Apr/23,Stanage Plantation,Trad,British,England
The Right Unconquerable,HVS 5a ***,2nd rpt,ChloeJ,,26/Apr/23,Stanage Plantation,Trad,British,England
Paradise Wall,HS 4b ***,2nd rpt,ChloeJ,,26/Apr/23,Stanage Plantation,Trad,British,England
Black Arête,V0+  **,Sent O/S,ChloeJ,,26/Apr/23,Stanage Plantation,Bouldering,Font,England
Black Wall,VB  **,Sent O/S,ChloeJ,,26/Apr/23,Stanage Plantation,Bouldering,Font,England
The Mall,VS 4c ***,2nd O/S,ChloeJ,,25/Apr/23,Millstone Edge,Trad,British,England
Bond Street,HVS 5a ***,Lead O/S,ChloeJ,,25/Apr/23,Millstone Edge,Trad,British,England
Suicide Wall,HVS 5b ***,2nd rpt,ChloeJ,,24/Apr/23,Cratcliffe Tor,Trad,British,England
Alfredo Alfredo,7b+  ***,Lead RP,ChloeJ,Awesome to do this on the last day!,16/Apr/23,Odyssey,Sport,French,Greece
Imia,6c  ***,Lead O/S,ChloeJ,,16/Apr/23,Odyssey,Sport,French,Greece
Adolflahaut,7a+  ***,Lead β,ChloeJ,,14/Apr/23,Palionisos,Sport,French,Greece
Chien Jaune,7b+  ***,Lead RP,ChloeJ,,14/Apr/23,Palionisos,Sport,French,Greece
Frapogalo,6c  ***,Lead O/S,ChloeJ,,13/Apr/23,Palionisos,Sport,French,Greece
Remetzo,6c  ***,Lead O/S,ChloeJ,,13/Apr/23,Palionisos,Sport,French,Greece
Dafni,6c+  ***,Lead β,ChloeJ,Hell of a fight,11/Apr/23,Ghost Kitchen,Sport,French,Greece
Il Pittore,6b+  **,Lead β,ChloeJ,,10/Apr/23,Arhi,Sport,French,Greece
Kastor,7a  ***,Lead β,ChloeJ,Thanks to Chloe for the clips and beta.,10/Apr/23,Arhi,Sport,French,Greece
Underclings,7a  ***,Lead O/S,ChloeJ,Very interesting and technical climbing - not your typical sport route. Actually did this twice in the end to get the draws back at the end of the session.,10/Apr/23,Arhi,Sport,French,Greece
Alfredo Alfredo,7b+  ***,Lead dog,"SandyJJS, ChloeJ","Too tired to do anything this strenuous, should have taken a rest day.",08/Apr/23,Odyssey,Sport,French,Greece
Harakiri,6b+  ***,Lead O/S,"SandyJJS, ChloeJ",With a view to trying the extension. Polished to f***,07/Apr/23,Spartacus Area,Sport,French,Greece
Tzatziki Vikiki,7b+  *,Lead dog,ChloeJ,"Had three tries on this, actually thought the climbing was really cool, pockets and drop knees galore. Was just too tired in the end. Also couldn&rsquo;t work out how to clip the chains without grabbing them - they&rsquo;re also not in the best state.",07/Apr/23,Spartacus Area,Sport,French,Greece
Alfredo Alfredo,7b+  ***,Lead dog,"ChloeJ, SandyJJS, robf321, EGriffin",Brilliant power endurance test at the grade. Had 3 goes with the last being very close but in bad conditions. Keen to finish this off.,05/Apr/23,Odyssey,Sport,French,Greece
Marci Marc,7c+  ***,Lead dog,SandyJJS,Somehow felt a lot harder than last trip over a year ago. ,05/Apr/23,Odyssey,Sport,French,Greece
Aegialis,7c  ***,Lead dog,ChloeJ,"Harder than I expected, with some quite intimidating and insecure feeling climbing high up by the tufa fin. May just be weak but I found putting some of the clips in extremely strenuous too. Perhaps one to come back to after more training.",03/Apr/23,Grande Grotta Area,Sport,French,Greece
Kerveros,7a  ***,Lead RP,ChloeJ,Good to do this first try after falling off it a year and a half ago. Massive apologies to Chloe for sandbagging her on her flash go.,02/Apr/23,Spartacus Area,Sport,French,Greece
Carpe Diem,6b  ***,Lead O/S,ChloeJ,"Steeper than it looks, was definitely warm afterwards.",02/Apr/23,Grande Grotta Area,Sport,French,Greece
Wala Wala / Damokles,6a+  ***,Lead O/S,ChloeJ,,01/Apr/23,Masouri Area,Sport,French,Greece
Attitude,7a  ***,Lead O/S,ChloeJ,Putting the clips in. Hard for the grade and agree with Aris&rsquo; guide on 7a+. Holds are quite slick and the feet very polished and not that positive - almost impossible to not overgrip. Enjoyed the challenge but  didn&rsquo;t rate this as high quality for the area.,01/Apr/23,Masouri Area,Sport,French,Greece
L'homme a l'Envers,7b  ***,Lead RP,"kishanvekaria, ChloeJ",,30/Mar/23,Geyikbayiri - Upper Tier,Sport,French,Turkey
Sairlerin Sultani (P1),6a  ***,Lead O/S,ChloeJ,"Bottom half to warm up, then tried the bouldery 7a+ extension briefly. Cool but hard crux that took a few tries to work out. Did not proceed to redpoint.",30/Mar/23,Geyikbayiri - Upper Tier,Sport,French,Turkey
Blue Hotel,7b  ***,Lead β,ChloeJ,,29/Mar/23,Geyikbayiri - Upper Tier,Sport,French,Turkey
Karinca,7a  ***,Lead β,ChloeJ,,27/Mar/23,Geyikbayiri - Upper Tier,Sport,French,Turkey
Teenager On Game,6b+  ,Lead,"ChloeJ, kishanvekaria",,27/Mar/23,Çitdibi,Sport,French,Turkey
La Vie en Rose,7b+  **,Lead RP,French David from Geyikbayiri ,"Brilliant to do this, third try of the day - on the verge of admitting defeat. Was inspired by David&rsquo;s ascent that was smooth as silk.",25/Mar/23,Geyikbayiri - Lower Tier,Sport,French,Turkey
Hansel,6b  **,Lead O/S,"French David from Geyikbayiri , ChloeJ",Fingery and tricky to read.,25/Mar/23,Geyikbayiri - Lower Tier,Sport,French,Turkey
Takoz,6b+  **,Lead O/S,Ed living in Berlin (Geyikbayiri),Steep jug hauling with a weird and rather technical move to the chain.,23/Mar/23,Geyikbayiri - Upper Tier,Sport,French,Turkey
Poseidon,7b  **,Lead RP,Ed living in Berlin (Geyikbayiri),2nd go,23/Mar/23,Geyikbayiri - Upper Tier,Sport,French,Turkey
L'homme a l'Envers,7b  ***,Lead dog,Ed living in Berlin (Geyikbayiri),Onsight attempt. Fell off on the cruxy moves getting to the big tufa and then went all the way through to the top after a rest. Great route and got to try very hard on this lone attempt. May or may not come back&hellip;,23/Mar/23,Geyikbayiri - Upper Tier,Sport,French,Turkey
Dumlupinar,6b  ,Lead O/S,ChloeJ,,22/Mar/23,Geyikbayiri - Upper Tier,Sport,French,Turkey
Semazen,6c+  **,Lead O/S,ChloeJ,,22/Mar/23,Geyikbayiri - Upper Tier,Sport,French,Turkey
Rigolos,6c  **,Lead O/S,ChloeJ,,22/Mar/23,Geyikbayiri - Upper Tier,Sport,French,Turkey
Bartabas,7a+  ,Lead O/S,ChloeJ,,22/Mar/23,Geyikbayiri - Upper Tier,Sport,French,Turkey
Inner Smile,7b+  ,Lead RP,French David from Geyikbayiri ,"3rd go, 2nd RP. This route certainly brought on a smile! ",17/Mar/23,Geyikbayiri - Upper Tier,Sport,French,Turkey
Saxafon,6b+  ***,Lead β,French David from Geyikbayiri ,"Despite seeing so many people climb this, I managed to make it quite hard for myself. Lol. ",17/Mar/23,Geyikbayiri - Upper Tier,Sport,French,Turkey
Working Class,6a+  ,Lead β,French David from Geyikbayiri ,"Not a good warm up, thought the last few moves alone justified 6b+/c",17/Mar/23,Geyikbayiri - Upper Tier,Sport,French,Turkey
Kaptain Kirk,6c+  ,Lead O/S,ChloeJ,"Excellent climb.
https://youtu.be/HU2ftCitvyQ",15/Mar/23,Geyikbayiri - Upper Tier,Sport,French,Turkey
Inner Smile,7b+  ,Lead dog,ChloeJ,"Brilliant climb, good strenuous first half followed by a series of heroic, throwy moves that could easily have come from a modern bouldering gym. 1 try at the end of the day - will most certainly be back.",15/Mar/23,Geyikbayiri - Upper Tier,Sport,French,Turkey
Sessions of Happiness (pitch 1),6a  ,Lead O/S,ChloeJ,Pretty fingery for 6a.,15/Mar/23,Geyikbayiri - Upper Tier,Sport,French,Turkey
Çelik Kalp,6a+  ,Lead O/S,ChloeJ,Briefly tried the 7b+ extension which has some interesting bendy moves followed by a reachy boulder problem that I couldn&rsquo;t work out quickly.,15/Mar/23,Geyikbayiri - Upper Tier,Sport,French,Turkey
Local Tourist,8a  ***,Lead dnf,ChloeJ,Quick try at the end of the day to see what it is like.,12/Mar/23,Geyikbayiri - Upper Tier,Sport,French,Turkey
Les Couleurs de l'eau,7c+  ,Lead dog,ChloeJ,Finally cracked the top crux though it remains absolutely nails. Bottom boulder also nails and very low percentage. All moves now done clean but prospect of linking them all seems daunting and extremely hard.,11/Mar/23,Geyikbayiri - Lower Tier,Sport,French,Turkey
Diplomarbeit,7b  **,Lead dog,ChloeJ,"Tried this as the first route of the day, got into a good flow but got stopped in my tracks by the crux. Took a little while to work out the rest to the top. Keen to try and finish this, hopefully 2nd try. Will be a good fight regardless.",09/Mar/23,Geyikbayiri - Lower Tier,Sport,French,Turkey
La Vie en Rose,7b+  **,Lead dog,ChloeJ,First half quite wet but the top half was absolute quality. Steep heroic moves in a great position. Very keen to try this again!,09/Mar/23,Geyikbayiri - Lower Tier,Sport,French,Turkey
Anaconda,7c  ***,Lead dnf,ChloeJ,"Rock solid for the grade, even if you have plenty of reach for the move at the top of the tufa (I didn&rsquo;t).",09/Mar/23,Geyikbayiri - Lower Tier,Sport,French,Turkey
Brazilia Carnaval,7a  *,Lead β,ChloeJ,Great pure stamina plod with a reachy crux right at the top!,07/Mar/23,Geyikbayiri - Lower Tier,Sport,French,Turkey
Kelebegin Ruyasi,6c  ***,Lead β,ChloeJ,"Good steep 3d climbing, travers-ey line - feels a bit like trad.",07/Mar/23,Geyikbayiri - Lower Tier,Sport,French,Turkey
Les Couleurs de l'eau,7c+  ,Lead dog,ChloeJ,First working go. Some of the hardest moves I’ve tried on a route. Eventually worked out the bottom boulder yet couldn’t work out the redpoint crux.,07/Mar/23,Geyikbayiri - Lower Tier,Sport,French,Turkey
Caf Caf,6c  ,Lead O/S,ChloeJ,Good techy climbing and interesting route finding.,05/Mar/23,Geyikbayiri - Upper Tier,Sport,French,Turkey
Lu,6b+  ,Lead O/S,ChloeJ,Fun (but steep) tufa pulling!,05/Mar/23,Geyikbayiri - Upper Tier,Sport,French,Turkey
Amele,7a+  ,Lead RP,ChloeJ,2nd go. Brilliant climb with two very contrasting halves. Top crux is truly special!,05/Mar/23,Geyikbayiri - Upper Tier,Sport,French,Turkey
Plastik Fantastik,8a  *,Lead dnf,ChloeJ,First working go to sample the route. Steep and bouldery. Struggled with the very top moves before the top out.,05/Mar/23,Geyikbayiri - Upper Tier,Sport,French,Turkey
Fight the butcher,7a  ***,Lead dog,ChloeJ,"Fell off the crux, very dicey and insecure prow climbing, good route but hard!",03/Mar/23,Geyikbayiri - Lower Tier,Sport,French,Turkey
Trebenna,6c+  ***,Lead O/S,ChloeJ,"Brilliant, my favourite climb so far!",03/Mar/23,Geyikbayiri - Lower Tier,Sport,French,Turkey
Lycian Alpinist,6b+  **,Lead dog,ChloeJ,Possibly the hardest 6b+ I’ve ever tried,03/Mar/23,Geyikbayiri - Lower Tier,Sport,French,Turkey
10 Year Anniversary,7a  *,Lead RP,ChloeJ,Steep with a distinct crux! Thought this was good value for 7a.,02/Mar/23,Geyikbayiri - Upper Tier,Sport,French,Turkey
Nirvana,6b  ***,Lead O/S,ChloeJ,,02/Mar/23,Geyikbayiri - Upper Tier,Sport,French,Turkey
Muhtar,6a  ,Lead O/S,ChloeJ,,02/Mar/23,Geyikbayiri - Upper Tier,Sport,French,Turkey
Chironification Stand,V5  ***,Sent x,ChloeJ,,23/Feb/23,Neath Abbey Quarry,Bouldering,Font,Wales
Heady Days,6b+  ***,Lead O/S,ChloeJ,Can see how this would be a very good route but wouldn’t recommend it in it’s winter state as it retains a lot of dampness.,18/Feb/23,Ban-y-gor,Sport,French,England
Pet Cemetery,7a  ***,Lead RP,ChloeJ," Great climb. Got this 2nd go, slipped off some insecure moves between the mid-height ledge and the roof. A pleasure to tie in again really.",18/Feb/23,Ban-y-gor,Sport,French,England
Bad Lip,V6  *,Sent x,ChloeJ,"In a quick evening session, glad to try this and pleased to find a problem requiring little palm skin.",14/Feb/23,Curbar Edge,Bouldering,Font,England
Obsession,7b+  ***,Lead dog,ChloeJ,Second time trying this after a lot of time off vert climbing! ,13/Feb/23,Malham Cove,Sport,French,England
Free and Even Easier,7a+  **,Lead dog,ChloeJ,Dogged this to warm up. Didn&rsquo;t come back to it. Thought the climbing was good but the line quite weird when stepping right to go up to the top.,13/Feb/23,Malham Cove,Sport,French,England
Mark's Roof Left-hand,V5+  ***,Sent dnf,ChloeJ,Few tries but couldn’t quite stick the crux bump to the lip.,12/Feb/23,Gardom's Edge,Bouldering,Font,England
Petit Jesu,V6  **,Sent dnf,EGriffin,,11/Feb/23,Curbar Edge,Bouldering,V-grades,England
Art of Japan,V5  ***,Sent dnf,EGriffin,,11/Feb/23,Curbar Edge,Bouldering,Font,England
The Ultimate Gritstone Experience,V5  ***,Sent dnf,EGriffin,,11/Feb/23,Curbar Edge,Bouldering,Font,England
Cave Problem Direct,V3+  *,Sent β,ChloeJ,Tried extremely hard on this and then immediately realised I needed another rest day,31/Jan/23,Robin Hood's Stride,Bouldering,Font,England
Hangman,V4+  *,Sent β,"ChloeJ, EGriffin, Niamh Gibson",,29/Jan/23,Stanton in the Woods,Bouldering,Font,England
Appliance Friction,V4  *,Sent x,"ChloeJ, EGriffin, Niamh Gibson","Brilliant problem, Like an easier version of “Trust” at the Roaches.",29/Jan/23,Stanton in the Woods,Bouldering,Font,England
Razor Traverse,V7  ***,Sent dnf,"ChloeJ, EGriffin",,29/Jan/23,Cratcliffe Tor,Bouldering,Font,England
T Crack,V8  ***,Sent dnf,"ChloeJ, EGriffin",,29/Jan/23,Cratcliffe Tor,Bouldering,Font,England
Jerry's Traverse,V8  ***,Sent dnf,"ChloeJ, EGriffin",,29/Jan/23,Cratcliffe Tor,Bouldering,Font,England
No Hueco,V5  **,Sent dnf,"ChloeJ, EGriffin",,29/Jan/23,Cratcliffe Tor,Bouldering,Font,England
Short Sean's Reachy Roof,V6  ***,Sent x,"ChloeJ, James Silk, EGriffin, Sid Sherborne",,28/Jan/23,Rowtor Rocks,Bouldering,Font,England
Runnel Rummage,V3+  **,Sent x,"ChloeJ, James Silk, EGriffin, Sid Sherborne",,28/Jan/23,Rowtor Rocks,Bouldering,Font,England
Crimpanzee,V4+  *,Sent β,"SandyJJS, EGriffin, Sid Sherborne",,28/Jan/23,Rowtor Rocks,Bouldering,Font,England
Little Flatty,V3  ,Sent dnf,SandyJJS,,28/Jan/23,Rowtor Rocks,Bouldering,Font,England
Domes,V7  ***,Sent dnf,SandyJJS,,28/Jan/23,Rowtor Rocks,Bouldering,Font,England
400 a Day,V6  *,Sent dnf,EGriffin,,28/Jan/23,Rowtor Rocks,Bouldering,Font,England
33 - Face & Break,V2  ,Sent x,ChloeJ,,20/Jan/23,Helman Tor,Bouldering,V-grades,England
29a - Arete Right,V3  *,Sent x,ChloeJ,,20/Jan/23,Helman Tor,Bouldering,V-grades,England
Flake Sitter,V6  ***,Sent β,ChloeJ,,20/Jan/23,Helman Tor,Bouldering,V-grades,England
35 - No Grieving,V3  **,Sent dnf,ChloeJ,Got to the pocket but found no way to pull over the top,20/Jan/23,Helman Tor,Bouldering,V-grades,England
32 - The Crack,V0-  ,Sent β,ChloeJ,,20/Jan/23,Helman Tor,Bouldering,V-grades,England
15 - Mantel,V0+  ,Sent β,ChloeJ,,20/Jan/23,Helman Tor,Bouldering,V-grades,England
Classic Arete,V2  ***,Sent x,ChloeJ,Without footblock. Great problem. Nearly dropped the down climb off the boulder as my hands got so cold. Lots of snow!,17/Jan/23,Carn Brea,Bouldering,V-grades,England
Spy in the Sky,7b  **,Lead dog,ChloeJ,"Lucky to even be able to try this after a week of torrential rain. Had a good 1st RP attempt but fell off at the thin crux above the jug, and it was hard to work this section - climbing around some wet patches. It then went dark&hellip;",13/Jan/23,Cheddar Gorge North,Sport,French,England
Barista School,V3+  ,Sent x,"richi3d10, ChloeJ",2nd go. Tricky pulling into the undercut above your head.,04/Jan/23,Arisaig Cave,Bouldering,Font,Scotland
Half Apex,V6  ,Sent x,ChloeJ,Did this from standing with my left hand on the big round undercut and right on the incut slot. Felt like a worthwhile variation as I ran out of energy to do the sit.,04/Jan/23,Arisaig Cave,Bouldering,Font,Scotland
Tower Gully,I  **,Solo O/S,richi3d10,"Big day out dodging avalanche ready slopes and weaving our way up whatever way possible. Intended to do tower scoop and have a look at Smith&rsquo;s or Gardyloo gully but this became our only way off the mountain after it was clear stuff wasn&rsquo;t in condition and blanketed in crap snow. Soloed but for a 10m section of grade III ice that Rich led. Good exposed snow plodding requiring calm crampon and axe-work, big proportions of the route are no fall areas. Cornice was fine today and easily taken on the right (looking up the gully).",02/Jan/23,Ben Nevis,Winter,Scottish,Scotland
Pagan Uilleann,V7  ***,Sent x,"Sid Sherborne, richi3d10, Niamh Gibson, ChloeJ",Did this from 2 moves in (crouch start?) - at maybe 6C+. Brilliant sequence .,01/Jan/23,Nevis Bouldering,Bouldering,Font,Scotland
Aonach Eagach Ridge (Winter),II  ***,AltLd,ChloeJ,,31/Dec/22,Aonach Eagach - Sgorr nam Fiannaidh,Winter,Scottish,Scotland
